date,number_answers,week_day
2022-12-02,3371,Friday
2023-01-22,2020,Sunday
2023-01-15,1987,Sunday
2022-12-08,3640,Thursday
2023-04-28,2397,Friday
2023-04-29,1419,Saturday
2023-04-30,1467,Sunday
2023-01-03,3420,Tuesday
2023-01-23,3213,Monday
2023-01-29,2118,Sunday
2023-01-30,3521,Monday
2023-01-12,3936,Thursday
2022-12-04,2070,Sunday
2023-04-01,1584,Saturday
2023-04-02,1549,Sunday
2023-04-03,2640,Monday
2023-04-04,2792,Tuesday
2023-04-05,2883,Wednesday
2022-12-20,3614,Tuesday
2023-03-01,3430,Wednesday
2023-03-02,3388,Thursday
2023-03-03,3122,Friday
2023-03-04,1927,Saturday
2022-12-23,2809,Friday
2023-03-10,3113,Friday
2023-03-11,1791,Saturday
2023-03-12,1873,Sunday
2023-03-13,3067,Monday
2023-01-05,3817,Thursday
2023-01-08,2239,Sunday
2022-12-07,3742,Wednesday
2023-01-11,3788,Wednesday
2023-01-16,3279,Monday
2022-12-03,2073,Saturday
2023-02-01,3749,Wednesday
2023-02-02,3736,Thursday
2023-02-03,3535,Friday
2023-02-04,2028,Saturday
2023-03-20,3048,Monday
2023-03-21,3230,Tuesday
2023-03-22,3013,Wednesday
2023-03-23,3006,Thursday
2023-03-24,2893,Friday
2022-12-16,3440,Friday
2023-03-25,1728,Saturday
2023-03-26,1564,Sunday
2023-03-27,2779,Monday
2023-03-28,3023,Tuesday
2023-04-06,2770,Thursday
2023-04-07,2323,Friday
2023-04-08,1511,Saturday
2023-04-09,1422,Sunday
2023-04-10,2253,Monday
2023-03-29,3038,Wednesday
2023-03-30,3107,Thursday
2023-03-31,2822,Friday
2023-01-17,3555,Tuesday
2023-01-19,3704,Thursday
2022-12-21,3722,Wednesday
2023-01-04,3716,Wednesday
2022-12-29,3198,Thursday
2023-01-01,1581,Sunday
2022-12-05,3431,Monday
2022-12-11,2082,Sunday
2023-03-05,1906,Sunday
2023-03-06,3109,Monday
2023-03-07,3314,Tuesday
2023-03-08,3111,Wednesday
2023-03-09,3405,Thursday
2022-12-31,1721,Saturday
2022-12-27,2904,Tuesday
2022-12-25,1539,Sunday
2022-12-13,3819,Tuesday
2022-12-01,3436,Thursday
2023-03-15,2814,Wednesday
2023-03-16,3244,Thursday
2023-03-17,3077,Friday
2023-03-18,1821,Saturday
2023-03-19,1705,Sunday
2023-01-25,3615,Wednesday
2022-12-24,1714,Saturday
2023-02-20,3165,Monday
2023-02-21,3417,Tuesday
2023-02-22,3575,Wednesday
2023-02-23,3540,Thursday
2023-02-24,3203,Friday
2022-12-19,3330,Monday
2022-12-22,3475,Thursday
2022-12-15,3792,Thursday
2022-12-17,2114,Saturday
2022-12-09,3268,Friday
2023-01-18,3745,Wednesday
2023-01-14,1915,Saturday
2023-01-07,2116,Saturday
2023-01-20,3228,Friday
2023-02-15,3479,Wednesday
2023-02-16,3704,Thursday
2023-02-17,3226,Friday
2023-02-18,1952,Saturday
2023-02-19,2042,Sunday
2022-12-12,3745,Monday
2022-12-06,3832,Tuesday
2023-04-11,2589,Tuesday
2023-04-12,2753,Wednesday
2023-04-13,2883,Thursday
2023-04-14,2581,Friday
2023-04-15,1584,Saturday
2023-02-05,2020,Sunday
2023-02-06,3262,Monday
2023-02-07,3567,Tuesday
2023-02-08,3653,Wednesday
2023-02-09,3554,Thursday
2023-02-25,1962,Saturday
2023-02-26,1842,Sunday
2023-02-27,3087,Monday
2023-02-28,3356,Tuesday
2022-12-26,2344,Monday
2022-12-30,2819,Friday
2023-04-16,1603,Sunday
2023-04-17,2604,Monday
2023-04-18,2807,Tuesday
2023-04-19,2786,Wednesday
2023-04-20,2631,Thursday
2023-02-10,3335,Friday
2023-02-11,1976,Saturday
2023-02-12,1911,Sunday
2023-02-13,3207,Monday
2023-02-14,3389,Tuesday
2023-01-27,3392,Friday
2023-01-26,3393,Thursday
2022-11-30,2991,Wednesday
2023-01-02,2911,Monday
2023-01-31,3829,Tuesday
2023-01-13,3417,Friday
2022-12-14,3701,Wednesday
2023-01-06,3352,Friday
2023-01-24,3564,Tuesday
2023-01-09,3489,Monday
2022-12-18,1944,Sunday
2023-01-10,3719,Tuesday
2023-01-21,2036,Saturday
2022-12-28,3218,Wednesday
2023-04-21,2365,Friday
2023-04-22,1397,Saturday
2023-04-23,1462,Sunday
2023-04-24,2658,Monday
2023-04-25,2603,Tuesday
2023-04-26,2670,Wednesday
2023-04-27,2707,Thursday
2023-01-28,2119,Saturday
2022-12-10,2126,Saturday
