id,manual,llama
75412792-llama,VERY HIGH,HIGH
75052561-llama,VERY LOW,LOW
73185851-chat-gpt-3.5,HIGH,MEDIUM
73151371-chat-gpt-3.5,HIGH,HIGH
73537413-chat-gpt-3.5,VERY HIGH,MEDIUM
75758831-chat-gpt-3.5,HIGH,HIGH
74891998-chat-gpt-3.5,VERY HIGH,MEDIUM
75307309-chat-gpt-3.5,LOW,HIGH
74776494-chat-gpt-3.5,LOW,MEDIUM
74997974-chat-gpt-3.5,VERY HIGH,LOW
73674092-llama,VERY HIGH,HIGH
75948146-chat-gpt-3.5,VERY HIGH,HIGH
73515934-llama,VERY HIGH,VERY HIGH
73634127-llama,VERY LOW,MEDIUM
75535945-chat-gpt-3.5,VERY HIGH,MEDIUM
73805636-llama,MEDIUM,HIGH
73017844-chat-gpt-3.5,MEDIUM,LOW
74743227-chat-gpt-3.5,LOW,MEDIUM
75039363-llama,VERY LOW,MEDIUM
73475744-chat-gpt-3.5,MEDIUM,HIGH
75035488-llama,VERY LOW,HIGH
74053380-chat-gpt-3.5,VERY LOW,HIGH
75434793-llama,VERY HIGH,HIGH
75346823-chat-gpt-3.5,VERY HIGH,HIGH
75789993-chat-gpt-3.5,VERY HIGH,MEDIUM
72936313-llama,MEDIUM,MEDIUM
73077152-llama,VERY LOW,LOW
74500669-chat-gpt-3.5,LOW,MEDIUM
73314559-llama,VERY LOW,MEDIUM
73574161-chat-gpt-3.5,VERY LOW,HIGH
75416375-llama,VERY HIGH,LOW
73114255-llama,HIGH,MEDIUM
74910014-chat-gpt-3.5,VERY LOW,MEDIUM
74485432-llama,VERY LOW,HIGH
74484753-chat-gpt-3.5,VERY LOW,HIGH
74481905-llama,LOW,MEDIUM
75210719-llama,VERY HIGH,MEDIUM
75291308-chat-gpt-3.5,VERY HIGH,HIGH
73004413-llama,LOW,HIGH
74322206-llama,HIGH,MEDIUM
74721482-llama,HIGH,HIGH
73504314-llama,VERY LOW,MEDIUM
73102008-chat-gpt-3.5,VERY HIGH,HIGH
73332258-chat-gpt-3.5,VERY HIGH,MEDIUM
73972027-chat-gpt-3.5,MEDIUM,MEDIUM
75080442-chat-gpt-3.5,VERY HIGH,MEDIUM
75441608-chat-gpt-3.5,MEDIUM,HIGH
74912847-chat-gpt-3.5,HIGH,MEDIUM
72969739-llama,LOW,HIGH
73314559-chat-gpt-3.5,LOW,HIGH
73957101-chat-gpt-3.5,HIGH,MEDIUM
73076798-llama,HIGH,HIGH
74189852-llama,LOW,MEDIUM
73003300-llama,LOW,MEDIUM
74407560-llama,LOW,LOW
76021384-llama,HIGH,HIGH
73072459-llama,HIGH,MEDIUM
76009085-chat-gpt-3.5,LOW,HIGH
75555522-chat-gpt-3.5,HIGH,MEDIUM
75758831-llama,LOW,LOW
75980105-llama,LOW,MEDIUM
73465679-llama,LOW,MEDIUM
73001297-chat-gpt-3.5,HIGH,HIGH
76011691-chat-gpt-3.5,HIGH,LOW
75377287-llama,LOW,MEDIUM
75353543-chat-gpt-3.5,HIGH,HIGH
72954104-chat-gpt-3.5,LOW,MEDIUM
75085893-chat-gpt-3.5,HIGH,HIGH
74535758-chat-gpt-3.5,HIGH,LOW
76037084-llama,HIGH,HIGH
72830586-chat-gpt-3.5,HIGH,MEDIUM
73113554-llama,HIGH,HIGH
75666909-chat-gpt-3.5,HIGH,HIGH
75056105-llama,HIGH,MEDIUM
74167747-chat-gpt-3.5,HIGH,MEDIUM
74214892-chat-gpt-3.5,LOW,MEDIUM
75135923-chat-gpt-3.5,LOW,MEDIUM
75745637-chat-gpt-3.5,HIGH,MEDIUM
74214892-llama,LOW,HIGH
75754152-chat-gpt-3.5,HIGH,HIGH
73977102-llama,HIGH,LOW
75650611-chat-gpt-3.5,HIGH,HIGH
75354216-llama,LOW,LOW
75920221-chat-gpt-3.5,HIGH,HIGH
76048911-llama,HIGH,HIGH
72901581-chat-gpt-3.5,LOW,HIGH
75344215-llama,LOW,MEDIUM
74624685-llama,LOW,LOW
74626863-llama,HIGH,MEDIUM
74110774-chat-gpt-3.5,LOW,HIGH
75377287-chat-gpt-3.5,LOW,HIGH
73903529-llama,HIGH,MEDIUM
74286842-chat-gpt-3.5,HIGH,HIGH
75999602-chat-gpt-3.5,LOW,MEDIUM
